                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.329,                0.92132,                 1.4676,                0.96258,                0.98318,                0.96497,                0.51491,                 1.7212,                0.73954,                 1.4649,             0.00078002,             0.00078002,             0.00078002
                     36,                 1.2907,                0.87558,                 1.4261,                0.98952,                      1,                  0.995,                0.50071,                 1.7827,                0.73454,                 1.5036,             0.00077336,             0.00077336,             0.00077336
                     37,                 1.2732,                0.89237,                 1.4249,                0.96698,                0.98333,                0.96693,                0.55432,                  1.607,                0.73638,                 1.4165,             0.00076669,             0.00076669,             0.00076669
                     38,                 1.2071,                0.83581,                 1.3467,                0.96097,                0.95784,                0.94928,                0.52313,                 1.6396,                0.71163,                 1.4168,             0.00076002,             0.00076002,             0.00076002
                     39,                 1.2841,                0.90322,                 1.4559,                0.96319,                0.94454,                0.95982,                0.49824,                 1.7534,                0.69317,                 1.4455,             0.00075336,             0.00075336,             0.00075336
                     40,                  1.259,                0.89586,                 1.4103,                0.97182,                0.98333,                0.97018,                0.44542,                 1.9974,                0.73746,                 1.5862,             0.00074669,             0.00074669,             0.00074669
                     41,                 1.2967,                0.91744,                 1.4485,                0.98207,                      1,                  0.995,                0.52073,                  1.717,                0.69795,                 1.4635,             0.00074003,             0.00074003,             0.00074003
                     42,                  1.245,                0.82191,                 1.4077,                0.94902,                0.96667,                 0.9713,                0.49406,                  1.793,                0.75267,                 1.4663,             0.00073336,             0.00073336,             0.00073336
                     43,                 1.2009,                0.82371,                 1.3765,                0.91211,                0.94713,                0.90972,                 0.5294,                 1.6269,                0.77325,                 1.4411,             0.00072669,             0.00072669,             0.00072669
                     44,                 1.1824,                0.77907,                 1.3725,                0.95986,                0.96195,                0.94151,                0.51979,                 1.6322,                0.71041,                 1.3616,             0.00072003,             0.00072003,             0.00072003
                     45,                 1.1657,                0.78244,                 1.3436,                0.94385,                0.95458,                0.94673,                0.50599,                  1.669,                0.69441,                 1.3746,             0.00071336,             0.00071336,             0.00071336
                     46,                 1.2154,                0.81657,                 1.3627,                0.94047,                   0.95,                0.94851,                0.48459,                 1.8119,                0.69552,                 1.5043,              0.0007067,              0.0007067,              0.0007067
                     47,                 1.2562,                 0.8768,                  1.412,                0.93897,                0.95877,                 0.9447,                0.46042,                  1.828,                0.72528,                 1.5177,             0.00070003,             0.00070003,             0.00070003
                     48,                 1.2142,                0.80595,                 1.3831,                0.97722,                0.99427,                  0.995,                0.59352,                 1.4247,                0.58907,                 1.2937,             0.00069336,             0.00069336,             0.00069336
                     49,                 1.2356,                0.85858,                 1.4126,                0.93332,                0.96667,                 0.9498,                0.47722,                  1.805,                0.71086,                 1.4821,              0.0006867,              0.0006867,              0.0006867
                     50,                 1.1571,                0.74122,                 1.3465,                0.97124,                0.98333,                0.96854,                0.51684,                 1.6885,                0.64583,                  1.421,             0.00068003,             0.00068003,             0.00068003
                     51,                 1.2188,                0.79361,                 1.4047,                0.97179,                0.98333,                 0.9722,                0.54957,                 1.6688,                0.64819,                 1.4189,             0.00067337,             0.00067337,             0.00067337
                     52,                 1.1332,                0.76199,                 1.3411,                0.84876,                0.86667,                0.79408,                0.38374,                  2.093,                0.83211,                 1.7287,              0.0006667,              0.0006667,              0.0006667
                     53,                 1.1787,                0.73136,                 1.3696,                0.94171,                0.96667,                0.94917,                0.49511,                 1.8556,                0.69426,                 1.5802,             0.00066003,             0.00066003,             0.00066003
                     54,                 1.1958,                0.78418,                 1.3612,                0.98378,                      1,                  0.995,                0.59379,                 1.4993,                0.57329,                 1.3315,             0.00065337,             0.00065337,             0.00065337
                     55,                 1.1705,                0.78151,                 1.3652,                0.97161,                0.98333,                0.97133,                0.59834,                 1.4186,                 0.5618,                 1.2866,              0.0006467,              0.0006467,              0.0006467
                     56,                 1.1229,                0.71651,                 1.3269,                0.96038,                0.98333,                0.97034,                0.53955,                 1.6049,                0.59097,                 1.3557,             0.00064004,             0.00064004,             0.00064004
                     57,                 1.1759,                0.77242,                 1.3447,                0.97372,                0.98333,                0.96782,                0.54034,                 1.6187,                0.61174,                 1.3698,             0.00063337,             0.00063337,             0.00063337
                     58,                 1.1532,                0.82258,                 1.3608,                0.96104,                0.97892,                0.96705,                0.57402,                 1.5414,                0.61808,                 1.3433,              0.0006267,              0.0006267,              0.0006267
                     59,                 1.1408,                0.74403,                 1.3395,                0.96929,                0.97936,                0.97105,                0.61091,                 1.4341,                0.58538,                 1.2763,             0.00062004,             0.00062004,             0.00062004
                     60,                   1.12,                0.73531,                 1.3047,                0.97528,                0.98333,                0.96954,                0.59388,                 1.5283,                0.57624,                 1.3098,             0.00061337,             0.00061337,             0.00061337
                     61,                   1.19,                0.73757,                 1.3461,                 0.9725,                0.98175,                0.97266,                0.64576,                 1.3408,                0.53732,                 1.2497,             0.00060671,             0.00060671,             0.00060671
                     62,                 1.0885,                0.70163,                 1.2933,                0.97711,                0.98244,                0.97389,                 0.5894,                 1.5374,                0.53259,                 1.3415,             0.00060004,             0.00060004,             0.00060004
                     63,                 1.1596,                0.73573,                 1.3308,                0.97172,                0.98333,                0.97229,                0.60046,                 1.4465,                0.53253,                 1.3016,             0.00059337,             0.00059337,             0.00059337
                     64,                 1.1436,                0.69923,                 1.3217,                0.96225,                0.98333,                0.97406,                0.60401,                 1.4626,                0.55362,                 1.3067,             0.00058671,             0.00058671,             0.00058671
                     65,                 1.1067,                0.66478,                 1.2817,                0.97041,                0.97779,                0.97293,                0.60342,                 1.4181,                0.56071,                 1.2718,             0.00058004,             0.00058004,             0.00058004
                     66,                 1.1724,                0.74983,                  1.335,                0.96967,                 0.9636,                 0.9707,                0.53467,                 1.6767,                0.62322,                 1.3982,             0.00057338,             0.00057338,             0.00057338
                     67,                 1.1577,                0.73217,                 1.3343,                0.89213,                0.95163,                0.94948,                0.44693,                 1.9066,                0.90077,                  1.543,             0.00056671,             0.00056671,             0.00056671
                     68,                 1.1503,                0.72518,                 1.3639,                0.95601,                 0.9655,                0.94571,                0.55038,                 1.5406,                0.62668,                 1.3955,             0.00056004,             0.00056004,             0.00056004
                     69,                 1.1341,                0.71135,                 1.3185,                0.96829,                 0.9823,                0.97104,                0.62119,                 1.3776,                 0.5481,                 1.2677,             0.00055338,             0.00055338,             0.00055338
