epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2490.42,0.83135,0.38643,1.07946,0.99756,0.99591,0.995,0.8361,0.7776,0.32685,1.03118,0.000316735,0.000316735,0.000316735
43,2546.8,0.84097,0.39512,1.09638,0.99778,0.99666,0.995,0.84261,0.74604,0.32485,1.01717,0.00030007,0.00030007,0.00030007
44,2606.84,0.82767,0.38076,1.06915,0.99883,0.99242,0.995,0.8375,0.77376,0.32254,1.03025,0.000283405,0.000283405,0.000283405
45,2668.13,0.81965,0.38138,1.06621,0.9968,0.99684,0.995,0.83439,0.77777,0.31992,1.03028,0.00026674,0.00026674,0.00026674
46,2730.87,0.83552,0.38275,1.07727,0.99562,0.99506,0.995,0.83907,0.75478,0.32324,1.02191,0.000250075,0.000250075,0.000250075
47,2790.21,0.82952,0.38274,1.06632,0.99655,0.99564,0.995,0.84469,0.73447,0.31803,1.01345,0.00023341,0.00023341,0.00023341
48,2851.76,0.82703,0.38435,1.0751,0.99599,0.99533,0.995,0.85731,0.72566,0.3139,1.01001,0.000216745,0.000216745,0.000216745
49,2912.75,0.82993,0.38538,1.0763,0.9941,0.99433,0.995,0.85558,0.72484,0.31121,1.01024,0.00020008,0.00020008,0.00020008
50,2973.08,0.82841,0.37701,1.07457,0.99249,0.99408,0.995,0.85464,0.73029,0.31235,1.01074,0.000183415,0.000183415,0.000183415
51,3041.92,0.77052,0.34592,1.09291,0.99643,0.99492,0.995,0.86167,0.73267,0.3228,1.01724,0.00016675,0.00016675,0.00016675
52,3101.21,0.76428,0.33372,1.09345,0.99635,0.99475,0.995,0.8479,0.72568,0.31837,1.01578,0.000150085,0.000150085,0.000150085
53,3162.83,0.75784,0.33313,1.09345,0.99756,0.99539,0.995,0.84062,0.75289,0.3268,1.02505,0.00013342,0.00013342,0.00013342
54,3222.52,0.76513,0.33037,1.09099,0.99827,0.99578,0.995,0.84563,0.74379,0.31806,1.0201,0.000116755,0.000116755,0.000116755
55,3282.26,0.75592,0.331,1.09427,0.99821,0.99563,0.995,0.84732,0.73698,0.32034,1.01954,0.00010009,0.00010009,0.00010009
56,3340.23,0.75514,0.32531,1.08168,0.99786,0.99733,0.995,0.85609,0.73525,0.32411,1.01857,8.3425e-05,8.3425e-05,8.3425e-05
57,3402.32,0.76214,0.32661,1.07793,0.99858,0.99693,0.995,0.85102,0.74114,0.32094,1.01986,6.676e-05,6.676e-05,6.676e-05
58,3460.08,0.73283,0.32298,1.0658,0.99775,0.99551,0.995,0.84671,0.74077,0.31872,1.01965,5.0095e-05,5.0095e-05,5.0095e-05
59,3520.76,0.73929,0.32124,1.08375,0.99768,0.99676,0.995,0.85142,0.74391,0.31967,1.02027,3.343e-05,3.343e-05,3.343e-05
60,3580.59,0.74448,0.32489,1.0693,0.99779,0.99516,0.995,0.85079,0.74305,0.31761,1.0207,1.6765e-05,1.6765e-05,1.6765e-05
